annee,gouvernorat,superficie_ha,nombre,region_id,matched_region_ar,matched_region_fr
2007,بنزرات,7,2,15,بنزرت,bizerte
2007,باجة,117,9,28,باجة,baja
2007,جندوبة,135.13,36,37,جندوبة,jndouba
2007,الكاف,19.62,2,36,الكاف,alkaf
2007,سليانة,4.096,13,770,سليانة,sliana
2007,القصرين,0.2445,8,18,القصرين,kasserine
2007,سيدي بوزيد,3,1,167,سيدي بوزيد,sidi bouzid
2007,القيروان,0,0,13,القيروان,kairouan
2007,قفصة,0,0,16,قفصة,gafsa
2007,سوسة,0,0,12,سوسة,sousse
2007,صفاقس,0,0,10,صفاقس,sfax
2007,المهدية,0,0,35,المهدية,almhdia
2007,المنستير,0,0,20,المنستير,monastir
2007,قابس,0,0,14,قابس,gabès
2007,توزر,0,0,45,توزر,touzr
2007,تطاوين,0,0,5,تطاوين,tataouine
2007,مدنين,0,0,26,مدنين,mdnin
2007,قبلي,0,0,46,قبلي,qbli
2008,تونس,0.35,1,1,تونس,tunis
2008,أريانة,0.108,3,21,أريانة,ariana
2008,بن عروس,3.78,10,19,بن عروس,ben arous
2008,منوبة,4,2,774,منوبة,mnouba
2008,نابل,19.446,19,11,نابل,nabeul
2008,زغوان,114.25,8,318,زغوان,zghouan
2008,بنزرات,29.5,3,15,بنزرت,bizerte
2008,باجة,112.03,9,28,باجة,baja
2008,جندوبة,26.555,11,37,جندوبة,jndouba
2008,الكاف,93.27,8,36,الكاف,alkaf
2008,سليانة,17.03,23,770,سليانة,sliana
2008,القصرين,9.853,13,18,القصرين,kasserine
2008,سيدي بوزيد,0.14,1,167,سيدي بوزيد,sidi bouzid
2008,القيروان,11.03,4,13,القيروان,kairouan
2008,قفصة,0,0,16,قفصة,gafsa
2008,سوسة,0.5,1,12,سوسة,sousse
2008,صفاقس,0,0,10,صفاقس,sfax
2008,المهدية,0,0,35,المهدية,almhdia
2008,المنستير,0,0,20,المنستير,monastir
2008,قابس,0,0,14,قابس,gabès
2008,توزر,0,0,45,توزر,touzr
2008,تطاوين,0,0,5,تطاوين,tataouine
2008,مدنين,0,0,26,مدنين,mdnin
2008,قبلي,0,0,46,قبلي,qbli
2009,تونس,1.5,1,1,تونس,tunis
2009,أريانة,2.69,10,21,أريانة,ariana
2009,بن عروس,0,0,19,بن عروس,ben arous
2009,منوبة,0.26,4,774,منوبة,mnouba
2009,نابل,2.8,17,11,نابل,nabeul
2009,زغوان,2.56,6,318,زغوان,zghouan
2009,بنزرات,5.75,10,15,بنزرت,bizerte
2009,باجة,11.04,8,28,باجة,baja
2009,جندوبة,1.51,8,37,جندوبة,jndouba
2009,الكاف,3.1,7,36,الكاف,alkaf
2009,سليانة,4.69,7,770,سليانة,sliana
2009,القصرين,20.48,11,18,القصرين,kasserine
2009,سيدي بوزيد,1.5,1,167,سيدي بوزيد,sidi bouzid
2009,القيروان,4.03,2,13,القيروان,kairouan
2009,قفصة,0,0,16,قفصة,gafsa
2009,سوسة,0.35,2,12,سوسة,sousse
2009,صفاقس,0,0,10,صفاقس,sfax
2009,المهدية,0.02,1,35,المهدية,almhdia
2009,المنستير,0,0,20,المنستير,monastir
2009,قابس,0.0075,1,14,قابس,gabès
2009,توزر,0,0,45,توزر,touzr
2009,تطاوين,0,0,5,تطاوين,tataouine
2009,مدنين,0,0,26,مدنين,mdnin
2009,قبلي,0,0,46,قبلي,qbli
2010,تونس,3.7,1,1,تونس,tunis
2010,أريانة,3.415,10,21,أريانة,ariana
2010,بن عروس,1.6245,3,19,بن عروس,ben arous
2010,منوبة,9.86,9,774,منوبة,mnouba
2010,نابل,3.912,7,11,نابل,nabeul
2010,زغوان,178.235,10,318,زغوان,zghouan
2010,بنزرات,2.14,2,15,بنزرت,bizerte
2010,باجة,320.76,19,28,باجة,baja
2010,جندوبة,15.4205,22,37,جندوبة,jndouba
2010,الكاف,2.6,2,36,الكاف,alkaf
2010,سليانة,171.1027,35,770,سليانة,sliana
2010,القصرين,0.584,4,18,القصرين,kasserine
2010,سيدي بوزيد,0.006,2,167,سيدي بوزيد,sidi bouzid
2010,القيروان,0.5,1,13,القيروان,kairouan
2010,قفصة,0.22,1,16,قفصة,gafsa
2010,سوسة,0.11,3,12,سوسة,sousse
2010,صفاقس,0,0,10,صفاقس,sfax
2010,المهدية,0.012,1,35,المهدية,almhdia
2010,المنستير,0,0,20,المنستير,monastir
2010,قابس,0,0,14,قابس,gabès
2010,توزر,0,0,45,توزر,touzr
2010,تطاوين,0,0,5,تطاوين,tataouine
2010,مدنين,0,0,26,مدنين,mdnin
2010,قبلي,0,0,46,قبلي,qbli
2011,تونس,0.02,1,1,تونس,tunis
2011,أريانة,4.428,10,21,أريانة,ariana
2011,بن عروس,2.1,3,19,بن عروس,ben arous
2011,منوبة,7.6,3,774,منوبة,mnouba
2011,نابل,489.9936,28,11,نابل,nabeul
2011,زغوان,6.135,8,318,زغوان,zghouan
2011,بنزرات,494.304,13,15,بنزرت,bizerte
2011,باجة,116.75,7,28,باجة,baja
2011,جندوبة,100.7802,43,37,جندوبة,jndouba
2011,الكاف,365.7435,27,36,الكاف,alkaf
2011,سليانة,77.423,24,770,سليانة,sliana
2011,القصرين,0,0,18,القصرين,kasserine
2011,سيدي بوزيد,0,0,167,سيدي بوزيد,sidi bouzid
2011,القيروان,22,6,13,القيروان,kairouan
2011,قفصة,2,1,16,قفصة,gafsa
2011,سوسة,0,0,12,سوسة,sousse
2011,صفاقس,0,0,10,صفاقس,sfax
2011,المهدية,0.6,1,35,المهدية,almhdia
2011,المنستير,0,0,20,المنستير,monastir
2011,قابس,0,0,14,قابس,gabès
2011,توزر,0,0,45,توزر,touzr
2011,تطاوين,0,0,5,تطاوين,tataouine
2011,مدنين,0,0,26,مدنين,mdnin
2011,قبلي,0,0,46,قبلي,qbli
2012,تونس,0,0,1,تونس,tunis
2012,أريانة,22.51,17,21,أريانة,ariana
2012,بن عروس,19.4,12,19,بن عروس,ben arous
2012,منوبة,14.55,5,774,منوبة,mnouba
2012,نابل,72.675,28,11,نابل,nabeul
2012,زغوان,92.45,26,318,زغوان,zghouan
2012,بنزرات,10,11,15,بنزرت,bizerte
2012,باجة,161.7,20,28,باجة,baja
2012,جندوبة,316.26,76,37,جندوبة,jndouba
2012,الكاف,487.79,19,36,الكاف,alkaf
2012,سليانة,831.03,36,770,سليانة,sliana
2012,القصرين,24.32,35,18,القصرين,kasserine
2012,سيدي بوزيد,4.79,4,167,سيدي بوزيد,sidi bouzid
2012,القيروان,28.63,13,13,القيروان,kairouan
2012,قفصة,1.725,5,16,قفصة,gafsa
2012,سوسة,2,1,12,سوسة,sousse
2012,صفاقس,2,1,10,صفاقس,sfax
2012,المهدية,0,0,35,المهدية,almhdia
2012,المنستير,0,0,20,المنستير,monastir
2012,قابس,1.245,2,14,قابس,gabès
2012,توزر,0,0,45,توزر,touzr
2012,تطاوين,0,0,5,تطاوين,tataouine
2012,مدنين,0,0,26,مدنين,mdnin
2012,قبلي,0,0,46,قبلي,qbli
2013,تونس,0.15,1,1,تونس,tunis
2013,أريانة,67.658,21,21,أريانة,ariana
2013,بن عروس,0,0,19,بن عروس,ben arous
2013,منوبة,38,3,774,منوبة,mnouba
