alwlayt,almʿtmdyt,ʿdd_mrakz_tjmyʿ_alhlyb,x4,region_id,matched_region_ar,matched_region_fr
صفاقس,ساقية الداير,1,NA,10,صفاقس,sfax
صفاقس,العامرة,4,NA,10,صفاقس,sfax
قفصة,قفصة الشمالية,2,7,16,قفصة,gafsa
قفصة,قفصة الجنوبية,2,NA,16,قفصة,gafsa
قفصة,زانوش,1,NA,16,قفصة,gafsa
قفصة,سيدي عيش,2,NA,16,قفصة,gafsa
قابس,قابس الشرقية,2,7,14,قابس,gabès
قابس,قابس الغربية,1,NA,14,قابس,gabès
قابس,الحامة,1,NA,14,قابس,gabès
قابس,قابس الجنوبية,3,NA,14,قابس,gabès
تطاوين,الصمار,1,1,5,تطاوين,tataouine
NA,المجموع,230,NA,NA,NA,NA
